StudentNo	RegistrationDate
199911024	31.12.2007
199912061	19.1.1992
199912064	29.4.2006
200011010	24.4.2007
200011034	21.3.2003
200011067	8.9.1996
200111006	16.6.1986
200111010	6.9.1998
200111011	7.4.1985
200111016	28.12.1987
200111026	19.1.1989
200111050	14.11.1996
200111058	8.11.1987
200111064	26.11.1990
200111079	14.6.1997
200111080	31.8.2008
200111081	15.9.1987
200112037	4.2.1998
200112053	25.6.2004
200112066	20.9.2005
200112071	9.2.1993
200122027	26.11.2005
200211001	6.12.1993
200211032	3.6.2004
200211051	5.9.1999
200211053	10.6.1997
200211059	5.3.2008
200211405	26.11.1983
200212019	29.1.2003
200212038	2.7.1983
200222021	15.6.1995
200311014	27.4.2006
200311015	22.11.1989
200311018	27.12.1990
200311036	11.11.2004
200311048	16.3.1995
200311202	15.2.2003
200311205	31.7.2000
200312030	25.7.1988
200322012	19.5.1991
200322018	19.4.2007
200322023	15.6.1986
200322033	2.11.1991
200322044	7.12.2004
200322304	6.3.2008
200322305	16.9.2004
200411202	17.8.2006
200411401	3.7.2001
200411409	22.6.1990
200422005	21.6.1989
200422008	4.7.1999
200422010	2.8.1996
200422011	4.11.2005
200422013	18.5.1990
200422014	17.7.1991
200422017	7.6.2009
200422018	13.8.2008
200422019	22.9.1994
200422020	11.3.2003
200422024	2.12.1988
200422026	9.6.1984
200422027	5.11.1999
200422029	3.7.2000
200422037	4.10.2008
200422047	25.2.1995
200422050	10.11.1998
200522018	18.4.1985
200522027	15.9.1991
